Class,Method,Inferred Type,Original Type,Source Code,Comments
[s]Dashboard,admin?,(Integer) -> (false or true),(Integer) -> (false or true),"def self.admin?(user_id)
    !!db[:users][id: user_id, admin: true]
  end",""
[s]Dashboard::User,get_with_deleted,(Integer) -> Dashboard::User,(Integer) -> Dashboard::User,"def self.get_with_deleted(user_id)
      row = Dashboard.db[:users].where(id: user_id).first
      return nil unless row
      Dashboard::User.new(row)
    end","# Retrieves the indicated user from the database, ignoring soft-deletes.
# @returns [User] for given user_id, or nil if not found in database
"
[s]Dashboard::User,get,(Integer) -> Dashboard::User,(Integer) -> Dashboard::User,"def self.get(user_id)
      row = Dashboard.db[:users].where(id: user_id, deleted_at: nil).first
      return nil unless row
      Dashboard::User.new(row)
    end","# Retrieves the indicated user from the database, respecting soft-deletes.
# @returns [User] for given user_id, or nil if not found in database
"
Dashboard::User,get_followed_bys,(Array<Integer>) -> Array<Integer>,(Array<Integer>) -> Array<Integer>,"def get_followed_bys(other_user_ids)
      Dashboard.db[:sections].
        join(:followers, section_id: :sections__id).
        join(:users, id: :followers__student_user_id).
        where(sections__user_id: id, sections__deleted_at: nil).
        where(followers__student_user_id: other_user_ids, followers__deleted_at: nil).
        where(users__deleted_at: nil).
        select_map(:followers__student_user_id)
    end","# @param other_user_ids [Array[Integer]] the user IDs to check.
# @return [Array[Integer]] the subset of other_user_ids that are followeds
#   of the user encapsulated by this class.
"
Dashboard::User,followed_by?,(Integer) -> (false or true),(Integer) -> (false or true),"def followed_by?(other_user_id)
      Dashboard.db[:sections].
        join(:followers, section_id: :sections__id).
        join(:users, id: :followers__student_user_id).
        where(sections__user_id: id, sections__deleted_at: nil).
        where(followers__student_user_id: other_user_id, followers__deleted_at: nil).
        where(users__deleted_at: nil).
        any?
    end","# @param other_user_id [Integer] the user ID to check.
# @return [Boolean] whether other_user_id is a followed of the user
#   encapsulated by this class.
"
Dashboard::User,owned_sections,() -> Array<{ id: Integer }>,() -> Array<{ id: Integer }>,"def owned_sections
      Dashboard.db[:sections].
        select(:id).where(user_id: id, deleted_at: nil).all
    end",""
Dashboard::User,admin?,() -> (false or true),() -> (false or true),"def admin?
      !!@row[:admin]
    end","# @returns [Boolean] true if user is an admin
"
Dashboard::User,has_permission?,((Array<String> or String)) -> (false or true),(String) -> (false or true),"def has_permission?(permission)
      permission = permission.to_s.strip.downcase
      case permission
        when 'admin' then admin?
        when 'teacher' then teacher?
        else !!Dashboard.db[:user_permissions][user_id: id, permission: permission]
      end
    end","# @param [String|Symbol] permission
# @returns [Boolean] true if user has the named permission
"
Object,teaches_student?,"(Integer, ?Integer) -> (false or true)","(Integer, ?Integer) -> (false or true)","def teaches_student?(student_id, user_id = current_user_id)
  return false unless student_id && user_id
  DASHBOARD_DB[:sections].
      join(:followers, section_id: :sections__id).
      join(:users, id: :followers__student_user_id).
      where(sections__user_id: user_id, sections__deleted_at: nil).
      where(followers__student_user_id: student_id, followers__deleted_at: nil).
      where(users__deleted_at: nil).
      any?
end","# @param [Integer] student_id
# @returns [Boolean] true iff the current user, or given user, is the teacher for the student of the given id
"
Object,owns_section?,(Integer) -> (false or true),(Integer) -> (false or true),"def owns_section?(section_id)
  return false unless section_id && current_user_id
  DASHBOARD_DB[:sections].where(id: section_id, user_id: current_user_id).any?
end","# @param [Integer] section_id
# @returns [Boolean] true iff the current user is the owner of the given section.
#          Note: NOT always true for admins.
"
